Epoch,DLoss,GLoss,DScore,GScore
1,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
2,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
3,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
4,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
5,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
6,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
7,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
8,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
9,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
10,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
11,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
12,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
13,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
14,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
15,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
16,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
17,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
18,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
19,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
20,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
21,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
22,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
23,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
24,9.909405335848634e-06,0.9612949011060926,0.39997607866923013,2.5625695189875033e-05
